School,Grade (#),Section (L),ID,Gender,age,MC
A,2,,A0211,M,8.221765914,X
A,2,,A0226,M,7.247091034,X
A,2,,A0246,F,7.066392882,X
A,2,,A0238,F,7.151266256,X
A,2,,A0207,F,7.211498973,X
A,2,,A0204,F,6.414784394,X
A,2,,A0245,F,7.452429843,X
A,2,,A0224,F,6.85284052,X
A,2,,A0230,M,8.188911704,X
A,2,,A0217,M,7.504449008,X
A,2,,A0205,F,7.26899384,X
A,2,,A0212,F,7.696098563,X
A,2,,A0213,F,7.698836413,X
A,2,,A0214,F,7.1321013,X
A,2,,A0215,F,6.984257358,X
A,2,,A0222,F,7.4770705,X
A,2,,A0225,F,7.630390144,X
A,2,,A0227,M,7.411362081,X
A,2,,A0229,M,7.386721424,X
A,2,,A0239,F,7.594798084,X
A,2,,A0240,M,7.197809719,X
A,2,,A0241,F,7.693360712,X
A,2,,A0242,M,7.225188227,no ravens
A,2,,A0208,M,7.044490075,X
A,2,,A0218,F,7.282683094,X
A,2,,A0243,M,7.559206023,X
A,2,,A0202,M,7.331964408,X
A,2,,A0236,M,7.159479808,X
A,2,,A0232,M,7.296372348,X
A,2,,A0219,F,9.204654346,X
A,2,,A0206,M,8.572210815,X
A,2,,A0210,M,7.364818617,X
A,2,,A0216,M,8.580424367,X
A,2,,A0209,M,7.709787817,X
A,2,,A0223,M,7.170431211,X
A,3,,A0339,M,8.476386037,X
A,3,,A0307,M,#VALUE!,X
A,3,,A0326,M,8.807665982,SP
A,3,,A0318,F,8.898015058,SP
A,3,,A0329,F,8.306639288,SP
A,3,,A0333,F,8.944558522,SP
A,3,,A0335,M,7.947980835,SP
A,3,,A0337,M,8.101300479,SP
A,3,,A0302,M,8.65982204,SP
A,3,,A0334,M,8,X
A,3,,A0305,F,8.328542094,SP
A,3,,A0301,M,8.350444901,X
A,3,,A0332,M,8.273785079,SP
A,3,,A0308,M,8.709103354,SP
A,3,,A0313,M,8.219028063,X
A,3,,A0314,M,8.093086927,X
A,3,,A0319,F,8.224503765,SP
A,3,,A0320,F,8.246406571,X
A,3,,A0324,M,8.424366872,X
A,3,,A0325,F,114.934976,X
A,3,,A0331,M,8.476386037,X
A,3,,A0338,M,8.873374401,X
A,3,,A0344,M,9.278576318,X
A,3,,A0346,M,8.528405202,X
A,3,,A0303,M,8.859685147,X
A,3,,A0310,M,8.637919233,SP
A,3,,A0323,M,8.438056126,SP
A,3,,A0327,M,8.583162218,SP
A,3,,A0343,F,8.38329911,X
A,3,,A0348,F,7.969883641,SP
A,3,,A0306,M,12.60232717,X
A,3,,A0311,M,8.840520192,SP
A,3,,A0309,F,8.167008898,X
A,3,,A0316,M,8.832306639,X
A,3,,A0342,F,8.424366872,X
A,5,,A0501,M,10.34907598,X
A,5,,A0502,M,11.12388775,X
A,5,,A0503,M,10.18480493,X
A,5,,A0504,M,10.39561944,X
A,5,,A0506,F,10.08898015,X
A,5,,A0505,M,10.26146475,X
A,5,,A0509,M,10.26146475,X
A,5,,A0508,M,11.66872005,X
A,5,,A0510,M,10.53524983,X
A,5,,A0507,M,10.33264887,X
A,5,,A0511,F,10.62833676,X
A,5,,A0514,F,10.14099932,X
A,5,,A0513,F,10.21218344,X
A,5,,A0512,F,10.81177276,X
A,5,,A0516,M,10.7652293,X
A,5,,A0521,M,10.0807666,X
A,5,,A0534,M,10.45585216,X
A,5,,A0518,M,#VALUE!,X
A,5,,A0515,M,11.09650924,X
A,5,,A0533,M,10.55167693,X
A,5,,A0517,M,10.47501711,X
A,5,,A0519,M,10.6255989,X
A,5,,A0524,F,10.28336756,X
A,5,,A0532,F,10.19849418,X
A,5,,A0525,M,10.68035592,X
A,5,,A0526,M,10.30253251,X
A,5,,A0528,F,10.67488022,X
A,5,,A0531,M,11.18138261,X
A,5,,A0530,F,10.80355921,X
A,5,,A0527,F,10.17111567,X
A,5,,A0529,M,10.55715264,X
A,6,,A0626,F,12.5065024,X
A,6,,A0603,M,11.38672142,X
A,6,,A0641,M,11.33196441,X
A,6,,A0616,M,10.94045175,X
A,6,,A0602,M,11.66872005,X
A,6,,A0624,M,11.00889802,X
A,6,,A0630,F,11.06365503,X
A,6,,A0601,F,10.36550308,X
A,6,,A0604,F,11.41957563,X
A,6,,A0619,F,11.44695414,X
A,6,,A0606,F,10.92950034,X
A,6,,A0608,M,10.65571526,X
A,6,,A0605,M,11.66324435,X
A,6,,A0607,F,10.85284052,X
A,6,,A0621,M,11.84120465,X
A,6,,A0609,F,11.43326489,X
A,6,,A0612,M,11.03353867,X
A,6,,A0610,F,11.46338125,X
A,6,,A0614,F,11.76180698,X
A,6,,A0622,M,11.45790554,X
A,6,,A0618,M,11.47433265,X
A,6,,A0620,M,11.56468172,X
A,6,,A0645,F,10.94045175,X
A,6,,A0628,F,11.62765229,X
A,6,,A0637,M,11.34017796,X
A,6,,A0617,F,11.75359343,X
A,6,,A0631,M,11.96167009,X
A,6,,A0627,M,11.26625599,X
A,8,,A0801,F,13.67282683,X
A,8,,A0829,M,12.94455852,X
A,8,,A0802,F,13.94387406,X
A,8,,A0803,M,13.68104038,X
A,8,,A0804,M,12.62970568,X
A,8,,A0805,F,13.10061602,X
A,8,,A0806,M,13.24845996,X
A,8,,A0807,M,13.14442163,X
A,8,,A0832,M,13.91101985,X
A,8,,A0809,F,14.37919233,X
A,8,,A0831,M,13.07871321,X
A,8,,A0810,M,13.65913758,X
A,8,,A0811,M,13.96303901,X
A,8,,A0812,F,13.33607118,X
A,8,,A0818,F,13.63449692,X
A,8,,A0813,M,12.49281314,X
A,8,,A0817,F,13.60711841,X
Z,6,A,Z06001,,10.29979466,X
Z,6,A,Z06002,,10.86926762,X
Z,6,A,Z06003,,10.91307324,X
Z,6,A,Z06004,,11.50171116,X
Z,6,A,Z06005,,10.89664613,X
Z,6,A,Z06006,,11.44969199,X
Z,6,A,Z06007,,10.86105407,X
Z,6,A,Z06008,,11.17590691,X
Z,6,A,Z06010,,11.94250513,X
Z,6,A,Z06011,,#VALUE!,X
Z,6,A,Z06012,,11.61943874,X
Z,6,A,Z06013,,10.61738535,X
Z,6,A,Z06009,,10.78986995,X
Z,6,A,Z06015,,11.50171116,X
Z,6,A,Z06014,,11.85489391,X
Z,6,A,Z06016,,11.43052704,X
Z,6,A,Z06018,,11.24982888,X
Z,6,A,Z06023,,10.36002738,X
Z,6,A,Z06024,,11.32922656,X
Z,6,A,Z06017,,10.5982204,X
Z,6,A,Z06019,,11.15674196,X
Z,6,A,Z06020,,10.81998631,X
Z,6,A,Z06021,,11.01437372,X
Z,6,A,Z06022,,10.81998631,X
Z,6,A,Z06026,,11.32375086,X
Z,6,A,Z06029,,10.99247091,X
Z,6,A,Z06027,,11.34291581,X
Z,6,A,Z06031,,10.85557837,X
Z,6,A,Z06030,,10.09993155,X
Z,6,A,Z06032,,10.67214237,X
Z,6,A,Z06033,,10.94045175,X
Z,6,A,Z06034,,11.02806297,X
Z,6,A,Z06035,,11.74264203,X
Z,6,A,Z06036,,11.6386037,X
Z,6,A,Z06039,,11.70157426,X
Z,8,B,Z08002,,12.96372348,X
Z,8,B,Z08009,,12.41889117,X
Z,8,B,Z08001,,13.44832307,X
Z,8,B,Z08004,,14.38466804,X
Z,8,B,Z08010,,12.66529774,X
Z,8,B,Z08011,,13.70294319,X
Z,8,B,Z08008,,13.76043806,X
Z,8,B,Z08007,,13.69472964,X
Z,8,B,Z08003,,12.62422998,X
Z,8,B,Z08015,,13.69199179,X
Z,8,B,Z08013,,12.75838467,X
Z,8,B,Z08012,,13.11430527,X
Z,8,B,Z08017,,12.79671458,X
Z,8,B,Z08014,,13.45106092,X
Z,9,A,Z09003,,13.97399042,X
Z,9,A,Z09002,,17.36892539,X
Z,9,A,Z09006,,13.3908282,X
Z,9,A,Z09005,,14.42847365,X
Z,9,A,Z09007,,13.47022587,X
Z,9,A,Z09014,,13.88364134,X
Z,9,A,Z09012,,14.23134839,X
Z,9,A,Z09013,,14.65571526,X
Z,9,A,Z09031,,14.95140315,X
Z,9,A,Z09011,,13.9028063,X
