subid,sex,age,age_group,dot,first_task,ms_q_ver,task,task_num,score,q,q_kind
MC-iran_21,M,8.75,8,8/4/14,moral,2,conv,conv1,2,1,0
MC-iran_21,M,8.75,8,8/4/14,moral,2,conv,conv1.1,N,1,1
MC-iran_21,M,8.75,8,8/4/14,moral,2,conv,conv1.2,N,1,2
MC-iran_21,M,8.75,8,8/4/14,moral,2,conv,conv1.3,N,1,3
MC-iran_21,M,8.75,8,8/4/14,moral,2,conv,conv2,2,2,0
MC-iran_21,M,8.75,8,8/4/14,moral,2,conv,conv2.1,N,2,1
MC-iran_21,M,8.75,8,8/4/14,moral,2,conv,conv2.2,N,2,2
MC-iran_21,M,8.75,8,8/4/14,moral,2,conv,conv2.3,N,2,3
MC-iran_21,M,8.75,8,8/4/14,moral,2,conv,conv3,3,3,0
MC-iran_21,M,8.75,8,8/4/14,moral,2,conv,conv3.1,N,3,1
MC-iran_21,M,8.75,8,8/4/14,moral,2,conv,conv3.2,N,3,2
MC-iran_21,M,8.75,8,8/4/14,moral,2,conv,conv3.3,N,3,3
MC-iran_21,M,8.75,8,8/4/14,moral,2,dg,dg1,3,1,NA
MC-iran_21,M,8.75,8,8/4/14,moral,2,dg,dg2,4,2,NA
MC-iran_21,M,8.75,8,8/4/14,moral,2,moral,moral1,2,1,0
MC-iran_21,M,8.75,8,8/4/14,moral,2,moral,moral1.1,N,1,1
MC-iran_21,M,8.75,8,8/4/14,moral,2,moral,moral1.2,N,1,2
MC-iran_21,M,8.75,8,8/4/14,moral,2,moral,moral1.3,N,1,3
MC-iran_21,M,8.75,8,8/4/14,moral,2,moral,moral2,2,2,0
MC-iran_21,M,8.75,8,8/4/14,moral,2,moral,moral2.1,N,2,1
MC-iran_21,M,8.75,8,8/4/14,moral,2,moral,moral2.2,N,2,2
MC-iran_21,M,8.75,8,8/4/14,moral,2,moral,moral2.3,N,2,3
MC-iran_21,M,8.75,8,8/4/14,moral,2,moral,moral3,3,3,0
MC-iran_21,M,8.75,8,8/4/14,moral,2,moral,moral3.1,N,3,1
MC-iran_21,M,8.75,8,8/4/14,moral,2,moral,moral3.2,N,3,2
MC-iran_21,M,8.75,8,8/4/14,moral,2,moral,moral3.3,N,3,3
MC-iran_21,M,8.75,8,8/4/14,moral,2,conv,conv4,3,4,0
MC-iran_21,M,8.75,8,8/4/14,moral,2,conv,conv4.1,N,4,1
MC-iran_21,M,8.75,8,8/4/14,moral,2,conv,conv4.2,N,4,2
MC-iran_21,M,8.75,8,8/4/14,moral,2,conv,conv4.3,N,4,3
MC-iran_21,M,8.75,8,8/4/14,moral,2,sharing,sharing1,2,1,0
MC-iran_21,M,8.75,8,8/4/14,moral,2,sharing,sharing10,3,10,0
MC-iran_21,M,8.75,8,8/4/14,moral,2,sharing,sharing11,5,11,0
MC-iran_21,M,8.75,8,8/4/14,moral,2,sharing,sharing2,4,2,0
MC-iran_21,M,8.75,8,8/4/14,moral,2,sharing,sharing3,1,3,0
MC-iran_21,M,8.75,8,8/4/14,moral,2,sharing,sharing4,3,4,0
MC-iran_21,M,8.75,8,8/4/14,moral,2,sharing,sharing5,3,5,0
MC-iran_21,M,8.75,8,8/4/14,moral,2,sharing,sharing6,5,6,0
MC-iran_21,M,8.75,8,8/4/14,moral,2,sharing,sharing7,5,7,0
MC-iran_21,M,8.75,8,8/4/14,moral,2,sharing,sharing8,5,8,0
MC-iran_21,M,8.75,8,8/4/14,moral,2,sharing,sharing9,3,9,0
MC-iran_69,M,8.77,8,8/24/14,moral,2,conv,conv1,1,1,0
MC-iran_69,M,8.77,8,8/24/14,moral,2,conv,conv1.1,N,1,1
MC-iran_69,M,8.77,8,8/24/14,moral,2,conv,conv1.2,Y,1,2
MC-iran_69,M,8.77,8,8/24/14,moral,2,conv,conv1.3,N,1,3
MC-iran_69,M,8.77,8,8/24/14,moral,2,conv,conv2,1,2,0
MC-iran_69,M,8.77,8,8/24/14,moral,2,conv,conv2.1,N,2,1
MC-iran_69,M,8.77,8,8/24/14,moral,2,conv,conv2.2,N,2,2
MC-iran_69,M,8.77,8,8/24/14,moral,2,conv,conv2.3,N,2,3
MC-iran_69,M,8.77,8,8/24/14,moral,2,conv,conv3,1,3,0
MC-iran_69,M,8.77,8,8/24/14,moral,2,conv,conv3.1,N,3,1
MC-iran_69,M,8.77,8,8/24/14,moral,2,conv,conv3.2,N,3,2
MC-iran_69,M,8.77,8,8/24/14,moral,2,conv,conv3.3,N,3,3
MC-iran_69,M,8.77,8,8/24/14,moral,2,dg,dg1,2,1,NA
MC-iran_69,M,8.77,8,8/24/14,moral,2,dg,dg2,1,2,NA
MC-iran_69,M,8.77,8,8/24/14,moral,2,moral,moral1,1,1,0
MC-iran_69,M,8.77,8,8/24/14,moral,2,moral,moral1.1,N,1,1
MC-iran_69,M,8.77,8,8/24/14,moral,2,moral,moral1.2,Y,1,2
MC-iran_69,M,8.77,8,8/24/14,moral,2,moral,moral1.3,N,1,3
MC-iran_69,M,8.77,8,8/24/14,moral,2,moral,moral2,2,2,0
MC-iran_69,M,8.77,8,8/24/14,moral,2,moral,moral2.1,N,2,1
MC-iran_69,M,8.77,8,8/24/14,moral,2,moral,moral2.2,N,2,2
MC-iran_69,M,8.77,8,8/24/14,moral,2,moral,moral2.3,N,2,3
MC-iran_69,M,8.77,8,8/24/14,moral,2,moral,moral3,1,3,0
