subid,sex,age,age_group,dot,first_task,ms_q_ver,first_ms,task,task_num,score,q,raven_level,q_kind
140902-02,F,7.8,8,9/2/14,moral,3,sharing,dg,dg1,5,1,NA,NA
140902-02,F,7.8,8,9/2/14,moral,3,sharing,dg,dg2,5,2,NA,NA
140902-02,F,7.8,8,9/2/14,moral,3,sharing,moral,moral1,1,1,NA,0
140902-02,F,7.8,8,9/2/14,moral,3,sharing,moral,moral1.1,n,1,NA,1
140902-02,F,7.8,8,9/2/14,moral,3,sharing,moral,moral1.2,n,1,NA,2
140902-02,F,7.8,8,9/2/14,moral,3,sharing,moral,moral1.3,n,1,NA,3
140902-02,F,7.8,8,9/2/14,moral,3,sharing,conv,conv1,3,1,NA,0
140902-02,F,7.8,8,9/2/14,moral,3,sharing,conv,conv1.1,n,1,NA,1
140902-02,F,7.8,8,9/2/14,moral,3,sharing,conv,conv1.2,n,1,NA,2
140902-02,F,7.8,8,9/2/14,moral,3,sharing,conv,conv1.3,n,1,NA,3
140902-02,F,7.8,8,9/2/14,moral,3,sharing,moral,moral2,1,2,NA,0
140902-02,F,7.8,8,9/2/14,moral,3,sharing,moral,moral2.1,n,2,NA,1
140902-02,F,7.8,8,9/2/14,moral,3,sharing,moral,moral2.2,n,2,NA,2
140902-02,F,7.8,8,9/2/14,moral,3,sharing,moral,moral2.3,n,2,NA,3
140902-02,F,7.8,8,9/2/14,moral,3,sharing,conv,conv2,1,2,NA,0
140902-02,F,7.8,8,9/2/14,moral,3,sharing,conv,conv2.1,n,2,NA,1
140902-02,F,7.8,8,9/2/14,moral,3,sharing,conv,conv2.2,n,2,NA,2
140902-02,F,7.8,8,9/2/14,moral,3,sharing,conv,conv2.3,n,2,NA,3
140902-02,F,7.8,8,9/2/14,moral,3,sharing,moral,moral3,1,3,NA,0
140902-02,F,7.8,8,9/2/14,moral,3,sharing,moral,moral3.1,n,3,NA,1
140902-02,F,7.8,8,9/2/14,moral,3,sharing,moral,moral3.2,n,3,NA,2
140902-02,F,7.8,8,9/2/14,moral,3,sharing,moral,moral3.3,n,3,NA,3
140902-02,F,7.8,8,9/2/14,moral,3,sharing,conv,conv3,1,3,NA,0
140902-02,F,7.8,8,9/2/14,moral,3,sharing,conv,conv3.1,n,3,NA,1
140902-02,F,7.8,8,9/2/14,moral,3,sharing,conv,conv3.2,n,3,NA,2
140902-02,F,7.8,8,9/2/14,moral,3,sharing,conv,conv3.3,n,3,NA,3
140902-02,F,7.8,8,9/2/14,moral,3,sharing,conv,conv4,1,4,NA,0
140902-02,F,7.8,8,9/2/14,moral,3,sharing,conv,conv4.1,n,4,NA,1
140902-02,F,7.8,8,9/2/14,moral,3,sharing,conv,conv4.2,n,4,NA,2
140902-02,F,7.8,8,9/2/14,moral,3,sharing,conv,conv4.3,n,4,NA,3
140902-02,F,7.8,8,9/2/14,moral,3,sharing,sharing,sharing1,2,1,NA,0
140902-02,F,7.8,8,9/2/14,moral,3,sharing,sharing,sharing2,4,2,NA,0
140902-02,F,7.8,8,9/2/14,moral,3,sharing,sharing,sharing3,1,3,NA,0
140902-02,F,7.8,8,9/2/14,moral,3,sharing,sharing,sharing4,4,4,NA,0
140902-02,F,7.8,8,9/2/14,moral,3,sharing,sharing,sharing5,1,5,NA,0
140902-02,F,7.8,8,9/2/14,moral,3,sharing,sharing,sharing6,5,6,NA,0
140902-02,F,7.8,8,9/2/14,moral,3,sharing,sharing,sharing7,1,7,NA,0
140902-02,F,7.8,8,9/2/14,moral,3,sharing,sharing,sharing8,3,8,NA,0
