subid,justifications,item,theme-MM,theme 2- MM,theme-AA,theme 2-AA,theme-HY,theme 2- HY,,Agreement,2nd Agreement,Final theme
RF100216-5,it's disrespectful to elders,back to elder,disrespect,,disrespect,,disrespect,,,1,,disrespect
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,when you go to someone's house the house gets dirty ,shoes in house,disrespect,,wrong,,wrong,,,1,,wrong
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,they might be thirsty too,drink,disrespect,,OK,,disrespect,,,0,disrespect,disrespect
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,NA,slippers,NA,,NA,,,,,NA,,NA
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,disgusting and food gets dirty,table,embarrassing,,wrong,,wrong,,,1,,wrong
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,head might hit somewhere and break ,push,injury,,injury,,injury,,,1,,injury
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,inappropriate/not formal,swimsuit,social order,,social order,,social order,,,1,,social order
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,have to respect your friends ,bad name,disrespect,,disrespect,,disrespect,,,1,,disrespect
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,have to respect your teacher,teacher,disrespect,,disrespect,,disrespect,,,1,,disrespect
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,ruined his drawing ,drawing,disrespect,,disrespect,injury,disrespect,,,1,,disrespect
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,it wasn't really bad but it wasn't good ,toys,NA,,OK,,wrong,,,0,0,OK
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,they'll want some too and it will ruin their fast ,fasting,disrespect,,disrespect,,religious,,,0,disrespect,disrespect
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,God doesn't like it and his prayer is ruined ,prayer,religious,,religious,,religious,,,1,,religious
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,"everyone is mourning and she's dressed happy, people will stare",red clothes,,,embarassing,social order,embarrassing,,,1,,embarrassing
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,ruined is prayer and his friend's,joke,disrespect,,disrespect,,religious,,,1,,disrespect
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RF100216-5,,,,,,,,,,,,
RK100216-6,it's something an enemy would do ,push,social order,,social order,,wrong,,,1,,social order
RK100216-6,,,,,,,,,,,,
RK100216-6,,,,,,,,,,,,
RK100216-6,,,,,,,,,,,,
RK100216-6,,,,,,,,,,,,
RK100216-6,,,,,,,,,,,,
RK100216-6,,,,,,,,,,,,
RK100216-6,,,,,,,,,,,,
RK100216-6,,,,,,,,,,,,
RK100216-6,inappropriate for anything other than food ,table,social order,,social order,,social order,,,1,,social order
RK100216-6,,,,,,,,,,,,
RK100216-6,,,,,,,,,,,,
RK100216-6,,,,,,,,,,,,
RK100216-6,,,,,,,,,,,,
RK100216-6,,,,,,,,,,,,
RK100216-6,,,,,,,,,,,,
RK100216-6,,,,,,,,,,,,
RK100216-6,,,,,,,,,,,,
RK100216-6,NA,bad name,NA,,NA,,NA,,,NA,,NA
RK100216-6,,,,,,,,,,,,
RK100216-6,,,,,,,,,,,,
RK100216-6,,,,,,,,,,,,
RK100216-6,,,,,,,,,,,,
RK100216-6,,,,,,,,,,,,
RK100216-6,,,,,,,,,,,,
RK100216-6,,,,,,,,,,,,
RK100216-6,,,,,,,,,,,,
RK100216-6,"all kids wear school clothes have to wear that, not anything else",swimsuit,social order,,OK,,social order,,,0,social order,social order
RK100216-6,,,,,,,,,,,,
RK100216-6,,,,,,,,,,,,
RK100216-6,,,,,,,,,,,,
RK100216-6,,,,,,,,,,,,
RK100216-6,,,,,,,,,,,,
RK100216-6,,,,,,,,,,,,
RK100216-6,,,,,,,,,,,,
RK100216-6,,,,,,,,,,,,
RK100216-6,"the other kid respected her drawing, she should've done the same",drawing,social order,,disrespect,,disrespect,,,1,,disrespect
RK100216-6,,,,,,,,,,,,
RK100216-6,,,,,,,,,,,,
RK100216-6,,,,,,,,,,,,
RK100216-6,,,,,,,,,,,,
RK100216-6,,,,,,,,,,,,
RK100216-6,,,,,,,,,,,,
RK100216-6,,,,,,,,,,,,
RK100216-6,,,,,,,,,,,,
RK100216-6,she's older and he needs to respect his elders,teacher,disrespect,,disrespect,social order,disrespect,,,1,,disrespect
RK100216-6,,,,,,,,,,,,
